gene symbol,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:High,Proteomics-DB:High,HPA-Ab:,Mouse Infertility,Druggable,CITDBase
SBF1,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,SET binding factor 1,TRUE,,,,,,
TMEM203,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,transmembrane protein 203,TRUE,,,,,,
PPP1CC,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,protein phosphatase 1 catalytic subunit gamma,TRUE,,,,,,
MEIG1,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,meiosis/spermiogenesis associated 1,TRUE,,,,,,
SETX,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,senataxin,TRUE,,,,,,
GGNBP2,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,gametogenetin binding protein 2,TRUE,,,,,,
HCN2,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,TRUE,,,,,,
SLX4,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,SLX4 structure-specific endonuclease subunit,TRUE,,,,,,
SIAH1,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,siah E3 ubiquitin protein ligase 1,TRUE,,,,,,
TASP1,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,taspase 1,TRUE,,,,,,
PLD6,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,phospholipase D family member 6,TRUE,,,,,,
RBMXL3,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,RBMX like 3,TRUE,,,,,,
GIT1,0.072059635,0.000114087,No data,No data,No data,No data,No data,0.360155568,GIT ArfGAP 1,TRUE,,,,,,
MAPK6,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,mitogen-activated protein kinase 6,TRUE,,,,,,
OLA1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,Obg like ATPase 1,TRUE,,,,,,
TMEM38B,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,transmembrane protein 38B,TRUE,,,,,,
IRX1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,iroquois homeobox 1,TRUE,,,,,,
PLAA,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,phospholipase A2 activating protein,TRUE,,,,,,
HSPA5,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,heat shock protein family A (Hsp70) member 5,TRUE,,,,,,
DBNL,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,drebrin like,TRUE,,,,,,
PRDM16,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,PR/SET domain 16,TRUE,,,,,,
MUC4,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,"mucin 4, cell surface associated",TRUE,,,,,,
STK40,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,serine/threonine kinase 40,TRUE,,,,,,
LACTB2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,lactamase beta 2,TRUE,,,,,,
CPEB4,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,cytoplasmic polyadenylation element binding protein 4,TRUE,,,,,,
HCK,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,"HCK proto-oncogene, Src family tyrosine kinase",TRUE,,,,,,
TSHZ3,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,teashirt zinc finger homeobox 3,TRUE,,,,,,
PEX13,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,peroxisomal biogenesis factor 13,TRUE,,,,,,
TNRC6C,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,trinucleotide repeat containing adaptor 6C,TRUE,,,,,,
ROR1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,receptor tyrosine kinase like orphan receptor 1,TRUE,,,,,,
CLEC1B,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,C-type lectin domain family 1 member B,TRUE,,,,,,
MCRIP1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,MAPK regulated corepressor interacting protein 1,TRUE,,,,,,
PEX5,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,peroxisomal biogenesis factor 5,TRUE,,,,,,
CHST11,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,carbohydrate sulfotransferase 11,TRUE,,,,,,
MYF6,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,myogenic factor 6,TRUE,,,,,,
ACKR3,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,atypical chemokine receptor 3,TRUE,,,,,,
FBLN1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,fibulin 1,TRUE,,,,,,
SRRM4,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,serine/arginine repetitive matrix 4,TRUE,,,,,,
FKBP8,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,FKBP prolyl isomerase 8,TRUE,,,,,,
SPAG17,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,sperm associated antigen 17,TRUE,,,,,,
NKX3-2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,NK3 homeobox 2,TRUE,,,,,,
NABP2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,nucleic acid binding protein 2,TRUE,,,,,,
ADAMTSL2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,ADAMTS like 2,TRUE,,,,,,
TUBB2B,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,tubulin beta 2B class IIb,TRUE,,,,,,
SIM2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,SIM bHLH transcription factor 2,TRUE,,,,,,
RCN3,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,reticulocalbin 3,TRUE,,,,,,
DGKD,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,diacylglycerol kinase delta,TRUE,,,,,,
TNNI3,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,"troponin I3, cardiac type",TRUE,,,,,,
PTGES3,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,prostaglandin E synthase 3,TRUE,,,,,,
E2F3,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,E2F transcription factor 3,TRUE,,,,,,
COL5A2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,collagen type V alpha 2 chain,TRUE,,,,,,
MN1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,"MN1 proto-oncogene, transcriptional regulator",TRUE,,,,,,
FOXF1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,forkhead box F1,TRUE,,,,,,
TCF15,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,transcription factor 15,TRUE,,,,,,
NEDD4L,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,NEDD4 like E3 ubiquitin protein ligase,TRUE,,,,,,
NPAS3,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,neuronal PAS domain protein 3,TRUE,,,,,,
TPH1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,tryptophan hydroxylase 1,TRUE,,,,,,
TPP1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,tripeptidyl peptidase 1,TRUE,,,,,,
PHF14,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,PHD finger protein 14,TRUE,,,,,,
PLAGL1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,PLAG1 like zinc finger 1,TRUE,,,,,,
HOXB4,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,homeobox B4,TRUE,,,,,,
PEX10,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,peroxisomal biogenesis factor 10,TRUE,,,,,,
SULF2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,sulfatase 2,TRUE,,,,,,
SFTPB,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,surfactant protein B,TRUE,,,,,,
NFIB,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,nuclear factor I B,TRUE,,,,,,
CYP1A2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,cytochrome P450 family 1 subfamily A member 2,TRUE,,,,,,
FBXW8,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,F-box and WD repeat domain containing 8,TRUE,,,,,,
DMRT2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,doublesex and mab-3 related transcription factor 2,TRUE,,,,,,
RAPSN,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,receptor associated protein of the synapse,TRUE,,,,,,
GPR4,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,G protein-coupled receptor 4,TRUE,,,,,,
PROX1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,prospero homeobox 1,TRUE,,,,,,
SCNN1A,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,sodium channel epithelial 1 subunit alpha,TRUE,,,,,,
ITGA9,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,integrin subunit alpha 9,TRUE,,,,,,
ABCA3,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,ATP binding cassette subfamily A member 3,TRUE,,,,,,
GORAB,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,"golgin, RAB6 interacting",TRUE,,,,,,
LINC02210-CRHR1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,LINC02210-CRHR1 readthrough,TRUE,,,,,,
NEU1,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,neuraminidase 1,TRUE,,,,,,
LAMC2,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,laminin subunit gamma 2,TRUE,,,,,,
ZFAND5,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,zinc finger AN1-type containing 5,TRUE,,,,,,
MDFI,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,MyoD family inhibitor,TRUE,,,,,,
PDS5B,0.072031114,No data,No data,No data,No data,No data,No data,0.360155568,PDS5 cohesin associated factor B,TRUE,,,,,,
GSTK1,0.071831541,No data,No data,No data,No data,No data,No data,0.359157703,glutathione S-transferase kappa 1,TRUE,,,,,,
NEK7,0.071831541,No data,No data,No data,No data,No data,No data,0.359157703,NIMA related kinase 7,TRUE,,,,,,
TF,0.071713017,No data,No data,No data,No data,0.102590216,No data,0.332917533,transferrin,TRUE,,,,,,
GFY,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,golgi associated olfactory signaling regulator,TRUE,,,,,,
SLC18A2,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,solute carrier family 18 member A2,TRUE,,,,,,
CNGA4,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,cyclic nucleotide gated channel subunit alpha 4,TRUE,,,,,,
PRUNE2,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,prune homolog 2 with BCH domain,TRUE,,,,,,
ADH7,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",TRUE,,,,,,
H2BC11,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,H2B clustered histone 11,TRUE,,,,,,
ATP6V0A4,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,ATPase H+ transporting V0 subunit a4,TRUE,,,,,,
CETN2,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,centrin 2,TRUE,,,,,,
SLC24A4,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,solute carrier family 24 member 4,TRUE,,,,,,
NXNL2,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,nucleoredoxin like 2,TRUE,,,,,,
CSF1R,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,colony stimulating factor 1 receptor,TRUE,,,,,,
GJB4,0.071705883,No data,No data,No data,No data,No data,No data,0.358529417,gap junction protein beta 4,TRUE,,,,,,
BCL2L1,0.071413915,No data,No data,No data,No data,0.012935295,No data,0.353835753,BCL2 like 1,TRUE,,,,,,
SLC4A4,0.071070206,No data,No data,No data,No data,0.048045381,No data,0.343339685,solute carrier family 4 member 4,TRUE,,,,,,
CD44,0.071038124,No data,No data,No data,No data,0.044151447,No data,0.344152761,CD44 molecule (Indian blood group),TRUE,,,,,,
PCDH15,0.070988898,No data,No data,No data,No data,0.018478993,No data,0.350324744,protocadherin related 15,TRUE,,,,,,
MEX3B,0.070767151,No data,No data,No data,No data,No data,No data,0.353835753,mex-3 RNA binding family member B,TRUE,,,,,,
EEF2K,0.070767151,No data,No data,No data,No data,No data,No data,0.353835753,eukaryotic elongation factor 2 kinase,TRUE,,,,,,
GPR149,0.070767151,No data,No data,No data,No data,No data,No data,0.353835753,G protein-coupled receptor 149,TRUE,,,,,,
TIPARP,0.070767151,No data,No data,No data,No data,No data,No data,0.353835753,TCDD inducible poly(ADP-ribose) polymerase,TRUE,,,,,,
HMMR,0.070767151,No data,No data,No data,No data,No data,No data,0.353835753,hyaluronan mediated motility receptor,TRUE,,,,,,
PTGER2,0.070767151,No data,No data,No data,No data,No data,No data,0.353835753,prostaglandin E receptor 2,TRUE,,,,,,
TOR1A,0.070619319,No data,No data,No data,No data,0.011087396,No data,0.350324744,torsin family 1 member A,TRUE,,,,,,
INPP4A,0.070064949,No data,No data,No data,No data,No data,No data,0.350324744,inositol polyphosphate-4-phosphatase type I A,TRUE,,,,,,
VPS16,0.070064949,No data,No data,No data,No data,No data,No data,0.350324744,VPS16 core subunit of CORVET and HOPS complexes,TRUE,,,,,,
LAMB1,0.070064949,No data,No data,No data,No data,No data,No data,0.350324744,laminin subunit beta 1,TRUE,,,,,,
HIPK2,0.070064949,No data,No data,No data,No data,No data,No data,0.350324744,homeodomain interacting protein kinase 2,TRUE,,,,,,
HTRA2,0.070064949,No data,No data,No data,No data,No data,No data,0.350324744,HtrA serine peptidase 2,TRUE,,,,,,
PDLIM3,0.069906645,No data,No data,No data,No data,0.028026472,No data,0.342526609,PDZ and LIM domain 3,TRUE,,,,,,
CLCNKB,0.069599278,No data,No data,No data,No data,No data,No data,0.347996391,chloride voltage-gated channel Kb,TRUE,,,,,,
CLCNKA,0.069599278,No data,No data,No data,No data,No data,No data,0.347996391,chloride voltage-gated channel Ka,TRUE,,,,,,
KRAS,0.069521666,No data,No data,No data,No data,0.020326892,No data,0.342526609,"KRAS proto-oncogene, GTPase",TRUE,,,,,,
TBX20,0.069521666,No data,No data,No data,No data,0.020326892,No data,0.342526609,T-box transcription factor 20,TRUE,,,,,,
CD209,0.069481013,No data,No data,No data,No data,0.347405063,No data,No data,CD209 molecule,TRUE,,,,,,
AARS1,0.069384922,No data,No data,No data,No data,0.011087396,No data,0.344152761,alanyl-tRNA synthetase 1,TRUE,,,,,,
KSR1,0.069384922,No data,No data,No data,No data,0.011087396,No data,0.344152761,kinase suppressor of ras 1,TRUE,,,,,,
TBC1D20,0.069355356,No data,No data,No data,No data,0.055436978,No data,0.332917533,TBC1 domain family member 20,TRUE,,,,,,
SCAI,0.069340572,No data,No data,No data,No data,No data,No data,0.346702862,suppressor of cancer cell invasion,TRUE,,,,,,
CREBBP,0.069303614,No data,No data,No data,No data,0.033262187,No data,0.338202525,CREB binding protein,TRUE,,,,,,
PRKN,0.069292527,No data,No data,No data,No data,0.009239496,No data,0.344152761,parkin RBR E3 ubiquitin protein ligase,TRUE,,,,,,
CLCN5,0.06928144,No data,No data,No data,No data,0.036957985,No data,0.337167701,chloride voltage-gated channel 5,TRUE,,,,,,
ANGPT2,0.069209371,No data,No data,No data,No data,0.048969331,No data,0.333804525,angiopoietin 2,TRUE,,,,,,
CNR2,0.069200132,No data,No data,No data,No data,0.007391597,No data,0.344152761,cannabinoid receptor 2,TRUE,,,,,,
ZFP36,0.069200132,No data,No data,No data,No data,0.007391597,No data,0.344152761,ZFP36 ring finger protein,TRUE,,,,,,
CERS4,0.069200132,No data,No data,No data,No data,0.007391597,No data,0.344152761,ceramide synthase 4,TRUE,,,,,,
GATA3,0.069200132,No data,No data,No data,No data,0.007391597,No data,0.344152761,GATA binding protein 3,TRUE,,,,,,
SEC61A1,0.069177957,No data,No data,No data,No data,No data,No data,0.345889786,SEC61 translocon subunit alpha 1,TRUE,,,,,,
NAGLU,0.069140999,No data,No data,No data,No data,No data,No data,0.345704996,N-acetyl-alpha-glucosaminidase,TRUE,,,,,,
TET1,0.069140999,No data,No data,No data,No data,No data,No data,0.345704996,tet methylcytosine dioxygenase 1,TRUE,,,,,,
NR3C2,0.069053612,0.000144856,No data,No data,No data,0.007391597,No data,0.343339685,nuclear receptor subfamily 3 group C member 2,TRUE,,,,,,
TLR4,0.068994759,No data,No data,No data,No data,0.044824903,No data,0.333767567,toll like receptor 4,TRUE,,,,,,
MUC5B,0.068934034,No data,No data,No data,No data,No data,No data,0.344670172,"mucin 5B, oligomeric mucus/gel-forming",TRUE,,,,,,
OLIG2,0.068926643,No data,No data,No data,No data,0.344633214,No data,No data,oligodendrocyte transcription factor 2,TRUE,,,,,,
RTTN,0.068906213,No data,No data,No data,No data,0.046454135,No data,0.332917533,rotatin,TRUE,,,,,,
LEF1,0.068872596,0.000168177,No data,No data,No data,No data,No data,0.344152761,lymphoid enhancer binding factor 1,TRUE,,,,,,
PLCD1,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,phospholipase C delta 1,TRUE,,,,,,
FHIT,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,fragile histidine triad diadenosine triphosphatase,TRUE,,,,,,
VLDLR,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,very low density lipoprotein receptor,TRUE,,,,,,
PSMB10,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,proteasome 20S subunit beta 10,TRUE,,,,,,
RXRA,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,retinoid X receptor alpha,TRUE,,,,,,
GRHL1,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,grainyhead like transcription factor 1,TRUE,,,,,,
TIMM23B-AGAP6,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,TIMM23B-AGAP6 readthrough (NMD candidate),TRUE,,,,,,
EBP,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,EBP cholestenol delta-isomerase,TRUE,,,,,,
SOX21,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,SRY-box transcription factor 21,TRUE,,,,,,
TRAF6,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,TNF receptor associated factor 6,TRUE,,,,,,
RAG2,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,recombination activating 2,TRUE,,,,,,
PKP3,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,plakophilin 3,TRUE,,,,,,
FAR2,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,fatty acyl-CoA reductase 2,TRUE,,,,,,
LRIG1,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,leucine rich repeats and immunoglobulin like domains 1,TRUE,,,,,,
RGN,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,regucalcin,TRUE,,,,,,
DSC1,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,desmocollin 1,TRUE,,,,,,
BARX2,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,BARX homeobox 2,TRUE,,,,,,
ITGB6,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,integrin subunit beta 6,TRUE,,,,,,
SOX18,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,SRY-box transcription factor 18,TRUE,,,,,,
SLITRK5,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,SLIT and NTRK like family member 5,TRUE,,,,,,
NSUN2,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,NOP2/Sun RNA methyltransferase 2,TRUE,,,,,,
TTC7A,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,tetratricopeptide repeat domain 7A,TRUE,,,,,,
ORAI1,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,ORAI calcium release-activated calcium modulator 1,TRUE,,,,,,
TIMM23B,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,translocase of inner mitochondrial membrane 23 homolog B,TRUE,,,,,,
KRT71,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,keratin 71,TRUE,,,,,,
DGAT1,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,diacylglycerol O-acyltransferase 1,TRUE,,,,,,
BTD,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,biotinidase,TRUE,,,,,,
ZNF462,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,zinc finger protein 462,TRUE,,,,,,
SCARF1,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,scavenger receptor class F member 1,TRUE,,,,,,
PPP2R5A,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,protein phosphatase 2 regulatory subunit B'alpha,TRUE,,,,,,
DIAPH1,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,diaphanous related formin 1,TRUE,,,,,,
TIMM23,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,translocase of inner mitochondrial membrane 23,TRUE,,,,,,
CTSE,0.068830552,No data,No data,No data,No data,No data,No data,0.344152761,cathepsin E,TRUE,,,,,,
HLA-DQB1,0.068796327,0.000323959,No data,No data,No data,0.042501683,No data,0.333176239,"major histocompatibility complex, class II, DQ beta 1",TRUE,,,,,,
IL2RA,0.068714134,No data,No data,No data,No data,0.041577734,No data,0.333176239,interleukin 2 receptor subunit alpha,TRUE,,,,,,
CYRIB,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,CYFIP related Rac1 interactor B,TRUE,,,,,,
ZC3H12C,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,zinc finger CCCH-type containing 12C,TRUE,,,,,,
FKBP9,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,FKBP prolyl isomerase 9,TRUE,,,,,,
ZFP69,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,ZFP69 zinc finger protein,TRUE,,,,,,
FARSA,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,phenylalanyl-tRNA synthetase subunit alpha,TRUE,,,,,,
ALDH16A1,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,aldehyde dehydrogenase 16 family member A1,TRUE,,,,,,
POLR2H,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,"RNA polymerase II, I and III subunit H",TRUE,,,,,,
ELK4,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,ETS transcription factor ELK4,TRUE,,,,,,
SLC26A3,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,solute carrier family 26 member 3,TRUE,,,,,,
TRIM9,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,tripartite motif containing 9,TRUE,,,,,,
TMEM94,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,transmembrane protein 94,TRUE,,,,,,
SCNN1G,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,sodium channel epithelial 1 subunit gamma,TRUE,,,,,,
TNFAIP1,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,TNF alpha induced protein 1,TRUE,,,,,,
ADAL,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,adenosine deaminase like,TRUE,,,,,,
GAR1,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,GAR1 ribonucleoprotein,TRUE,,,,,,
RNASE10,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,ribonuclease A family member 10 (inactive),TRUE,,,,,,
XYLB,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,xylulokinase,TRUE,,,,,,
DYNC1I2,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,dynein cytoplasmic 1 intermediate chain 2,TRUE,,,,,,
SLC38A10,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,solute carrier family 38 member 10,TRUE,,,,,,
VMP1,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,vacuole membrane protein 1,TRUE,,,,,,
TPCN2,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,two pore segment channel 2,TRUE,,,,,,
ASB5,0.068667937,No data,No data,No data,No data,No data,No data,0.343339685,ankyrin repeat and SOCS box containing 5,TRUE,,,,,,
CSRP3,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,cysteine and glycine rich protein 3,TRUE,,,,,,
CTNNA3,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,catenin alpha 3,TRUE,,,,,,
MYH10,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,myosin heavy chain 10,TRUE,,,,,,
IRX4,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,iroquois homeobox 4,TRUE,,,,,,
PDLIM5,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,PDZ and LIM domain 5,TRUE,,,,,,
LRRC10,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,leucine rich repeat containing 10,TRUE,,,,,,
GJA5,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,gap junction protein alpha 5,TRUE,,,,,,
GAS2L3,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,growth arrest specific 2 like 3,TRUE,,,,,,
MYH11,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,myosin heavy chain 11,TRUE,,,,,,
TRIM54,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,tripartite motif containing 54,TRUE,,,,,,
MRGPRD,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,MAS related GPR family member D,TRUE,,,,,,
MYL2,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,myosin light chain 2,TRUE,,,,,,
HBEGF,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,heparin binding EGF like growth factor,TRUE,,,,,,
ACE2,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,angiotensin converting enzyme 2,TRUE,,,,,,
HEXIM1,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,HEXIM P-TEFb complex subunit 1,TRUE,,,,,,
COX7A1,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,cytochrome c oxidase subunit 7A1,TRUE,,,,,,
TNNT2,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,"troponin T2, cardiac type",TRUE,,,,,,
OPA3,0.068505322,No data,No data,No data,No data,No data,No data,0.342526609,outer mitochondrial membrane lipid metabolism regulator OPA3,TRUE,,,,,,
CD59,0.068483147,No data,No data,No data,No data,0.036957985,No data,0.333176239,CD59 molecule (CD59 blood group),TRUE,,,,,,
NOTCH2,0.068475755,No data,No data,No data,No data,0.018478993,No data,0.337759029,notch receptor 2,TRUE,,,,,,
GPX1,0.068431406,No data,No data,No data,No data,0.036957985,No data,0.332917533,glutathione peroxidase 1,TRUE,,,,,,
SYCP2L,0.067995302,No data,No data,No data,No data,No data,No data,0.339976508,synaptonemal complex protein 2 like,TRUE,,,,,,
MACROD1,0.067692246,No data,No data,No data,No data,0.022174791,No data,0.332917533,mono-ADP ribosylhydrolase 1,TRUE,,,,,,
COL4A2,0.067692246,No data,No data,No data,No data,0.022174791,No data,0.332917533,collagen type IV alpha 2 chain,TRUE,,,,,,
ABCD1,0.067646049,No data,No data,No data,No data,0.021250842,No data,0.332917533,ATP binding cassette subfamily D member 1,TRUE,,,,,,
SOX11,0.067640505,No data,No data,No data,No data,No data,No data,0.338202525,SRY-box transcription factor 11,TRUE,,,,,,
FGF18,0.067640505,No data,No data,No data,No data,No data,No data,0.338202525,fibroblast growth factor 18,TRUE,,,,,,
ETV4,0.067551806,No data,No data,No data,No data,No data,No data,0.337759029,ETS variant transcription factor 4,TRUE,,,,,,
PLXNB2,0.067551806,No data,No data,No data,No data,No data,No data,0.337759029,plexin B2,TRUE,,,,,,
ALDH1A2,0.067551806,No data,No data,No data,No data,No data,No data,0.337759029,aldehyde dehydrogenase 1 family member A2,TRUE,,,,,,
